Major Place,Minor Place
1,11618,64
2,10173,81
3,11138,75
4,13643,16
5,13404,9
6,11236,72
7,13514,65
8,13941,59
9,14027,40
10,14544,75
11,13377,12
12,13819,80
13,13763,52
14,10697,59
15,14562,20
16,12241,22
17,12912,94
18,11653,85
19,13385,57
20,14212,49
21,13059,15
22,14185,13
23,13818,63
24,12948,38
25,10268,8
26,10605,41
27,12231,75
28,11972,27
29,13356,99
30,10785,4
31,14432,52
32,13742,66
33,14048,24
34,12428,71
35,11084,38
36,12134,25
37,12579,53
38,10818,39
39,11317,33
40,12349,19
41,12037,93
42,11556,91
43,13468,45
44,11643,6
45,13691,28
46,12636,60
47,10710,95
48,13078,57
49,14558,50
50,12985,56
51,13582,38
52,13226,48
53,14417,94
54,11398,6
55,11021,7
56,10991,29
57,13330,61
58,13697,83
59,11914,24
60,13473,33
61,10276,63
62,14625,72
63,11334,83
64,10229,13
65,13274,15
66,12392,90
67,12001,72
68,12291,44
69,11383,73
70,14553,19
71,14370,28
72,11332,49
73,14143,63
74,14536,18
75,14810,41
76,14911,65
77,14632,44
78,14797,67
79,14702,19
80,11021,59
81,14329,64
82,12575,30
83,13925,56
84,11398,22
85,12746,93
86,10292,8
87,10593,55
88,10811,30
89,12632,67
90,11185,61
91,10915,56
92,14472,50
93,14525,53
94,12477,75
95,13913,30
96,14098,63
97,14626,81
98,11518,86
99,10043,61
100,14064,18
101,14960,13
102,11753,50
103,12831,83
104,12340,1
105,14429,1
106,13511,56
107,11977,43
108,14987,17
109,13899,16
110,10774,82
111,14667,13
112,12001,39
113,10671,83
114,10134,19
115,10691,71
116,10218,62
117,13174,48
118,14120,13
119,11874,68
120,14310,69
121,13994,25
122,14888,28
123,13945,29
124,12835,50
125,13684,49
126,10515,31
127,10670,99
128,13953,25
129,12410,65
130,11659,18
131,11228,9
132,13586,37
133,12668,99
134,14018,22
135,12548,56
136,14145,51
137,10584,19
138,10425,18
139,10942,40
140,14787,2
141,14134,54
142,12039,70
143,11269,85
144,10559,23
145,12615,52
146,11418,79
147,13284,19
148,12097,7
149,10775,37
150,11905,15
151,12053,69
152,13804,79
153,12720,82
154,12333,19
155,11296,32
156,10323,41
157,12171,74
158,12451,77
159,13175,6
160,14267,26
161,10035,29
162,12777,46
163,14023,40
164,12786,61
165,12606,93
166,11805,76
167,14366,75
168,14627,38
169,11113,81
170,10515,61
171,12065,56
172,14423,47
173,13949,93
174,14133,21
175,11101,78
176,11449,42
177,11057,30
178,11450,21
179,10967,100
180,12837,4
181,14023,56
182,10304,96
183,10678,2
184,12957,95
185,13768,84
186,14220,92
187,11375,43
188,12985,75
189,11568,7
190,12021,35
191,13086,87
192,11152,11
193,10431,18
194,14427,100
195,14469,57
196,12679,29
197,12939,89
198,14239,74
199,14244,31
200,14726,65
201,14816,39
202,10774,35
203,10921,52
204,10643,23
205,10178,23
206,10735,25
207,11827,83
208,10675,17
209,10431,4
210,11101,29
211,10285,58
212,13293,99
213,14477,95
214,14641,28
215,10875,44
216,13359,16
217,11799,99
218,12095,27
219,10856,83
220,11262,23
221,10826,13
222,11752,19
223,13432,85
224,14289,7
225,12461,65
226,13239,9
227,12695,42
228,14080,56
229,10878,76
230,13189,76
231,11389,76
232,10052,26
233,14991,27
234,11327,96
235,11482,95
236,11555,65
237,12515,92
238,11295,41
239,14700,83
240,14498,24
241,13114,31
242,10748,43
243,14442,43
244,13020,89
245,13490,86
246,10221,67
247,10903,9
248,10993,16
249,12671,66
250,13684,83
251,12595,52
252,14163,35
253,13362,80
254,10475,69
255,10858,53
256,12400,89
257,14851,16
258,13150,1
259,14048,42
260,13297,44
261,12944,74
262,10123,44
263,14019,63
264,14026,19
265,11857,5
266,12457,7
267,11786,45
268,12174,59
269,12121,58
270,10706,5
271,14446,95
272,14738,51
273,10888,55
274,13341,87
275,13112,77
276,12465,86
277,10798,95
278,14332,93
279,11990,39
280,14214,79
281,11834,78
282,12430,22
283,10795,45
284,10953,86
285,14835,47
286,14997,15
287,12792,97
288,14893,75
289,14945,46
290,11600,37
291,10443,77
292,10032,27
293,13780,56
294,14681,23
295,12719,44
296,14117,31
297,14344,6
298,14496,22
299,10612,6
300,12439,14
301,13724,54
302,13470,33
303,12022,64
304,13220,47
305,14919,45
306,13654,16
307,13887,78
308,11126,9
309,12614,79
310,11210,44
311,13825,95
312,10340,43
313,11755,73
314,14141,57
315,13115,100
316,12973,78
317,11989,4
318,12643,71
319,12704,32
320,11263,40
321,13089,96
322,14004,45
323,10337,14
324,12482,16
325,13637,51
326,13006,79
327,11539,82
328,12811,32
329,13401,95
330,13293,62
331,11857,49
332,10139,70
333,14194,83
334,12770,8
335,12782,13
336,14761,45
337,13190,94
338,10319,77
339,11363,2
340,12903,17
341,11110,90
342,10170,23
343,13475,10
344,10439,46
345,12148,14
346,13819,71
347,13321,74
348,10079,33
349,10787,68
350,13682,23
351,13197,70
352,14955,49
353,12141,21
354,13419,71
355,11843,81
356,14516,80
357,10813,88
358,10737,24
359,10386,83
360,12666,82
361,11107,65
362,14263,54
363,14840,30
364,10534,40
365,13653,14
366,10847,13
367,14668,7
368,10943,76
369,12408,16
370,11509,41
371,11499,85
372,10995,46
373,10680,62
374,13662,11
375,14209,35
376,13159,95
377,12127,37
378,14776,89
379,12877,39
380,13864,15
381,13668,67
382,14307,50
383,11813,33
384,14099,92
